#OWON HDS2102S設定
NAME "HDS2102S_1"

INIT START
INIT ":SDSLSCPI#"
INIT "*IDN?"
INIT ":CH1:SCALe 5v"
INIT ":CH2:SCALe 5v"
INIT ":HORizontal:SCALe 10us"
INIT ":CH1:PROBe 10X"
INIT ":CH2:PROBe 10X"
INIT ":CH1:OFFSet 0"
INIT ":CH2:OFFSet -2"
#INIT ":TRIGger:SINGle:SWEep SINGle"
#INIT ":TRIGger:SINGle:SWEep NORMal"
INIT ":TRIGger:SINGle:SWEep AUTO"
INIT ":TRIGger:SINGle CH1"
INIT ":TRIGger:SINGle:COUPling DC"
INIT ":TRIGger:SINGle::EDGe: RISE"
#INIT ":TRIGger:SINGle::EDGe: FALL"
INIT ":TRIGger:SINGle::EDGe:LEVel 1.2v"
INIT ":CH1:DISPlay ON"
INIT ":CH2:DISPlay ON"
INIT END

CMD NAME "MeasureCH1"
CMD ":MEASurement:DISPlay ON"
CMD ":DMM:CONFigure:VOLTage DC"
CMD ":DMM:RANGE 10V"
#CMD ":DMM:CONFigure RESistance"
#CMD ":DMM:CONFigure DIODe"
#CMD ":DMM:CONFigure CONTinuity"
#CMD ":DMM:CONFigure CAPacitance"
#CMD ":MEASurement:CH1:MAX
CMD "DMM:MEAS?"
CMD END

CMD NAME "SampWAV"
CMD ":CH1:SCALe 5v"
CMD ":CH2:SCALe 5v"
CMD ":HORizontal:SCALe 10us"
CMD FUNC HDS2102S_getwaveform VOID

